1	0	3805
2	3805	1358
3	5163	733
4	5896	1892
5	7788	2259
6	10047	2499
7	12546	1353
8	13899	825
9	14724	1475
10	16199	1412
11	17611	2061
12	19672	3738
13	23410	3517
14	26927	4163
15	31090	3944
16	35034	3379
17	38413	2988
18	41401	1093
19	42494	1268
20	43762	1279
21	45041	2647
22	47688	1594
23	49282	1058
24	50340	1663
25	52003	1852
26	53855	3649
27	57504	4344
28	61848	1268
29	63116	1267
30	64383	1813
31	66196	1449
32	67645	641
33	68286	2000
34	70286	1270
35	71556	7064
36	78620	11541
37	90161	702
38	90863	818
39	91681	2674
40	94355	1677
41	96032	1725
42	97757	2031
43	99788	4482
44	104270	746
45	105016	1146
46	106162	1846
47	108008	1300
48	109308	2312
49	111620	2578
50	114198	6545
51	120743	2896
52	123639	1028
53	124667	1534
54	126201	3555
55	129756	4482
56	134238	1688
57	135926	4251
58	140177	2798
59	142975	1252
60	144227	1022
61	145249	696
62	145945	3298
63	149243	15444
64	164687	3431
65	168118	778
66	168896	4005
67	172901	723
68	173624	859
69	174483	1072
70	175555	662
71	176217	2691
72	178908	800
73	179708	1703
74	181411	2796
75	184207	749
76	184956	1384
77	186340	2369
78	188709	1178
79	189887	693
80	190580	1807
81	192387	701
82	193088	1457
83	194545	687
84	195232	3671
85	198903	1525
86	200428	1544
87	201972	2898
88	204870	1171
89	206041	14438
90	220479	15405
91	235884	14059
92	249943	10395
93	260338	10659
94	270997	16393
95	287390	12986
96	300376	10970
97	311346	8741
98	320087	15010
99	335097	12831
100	347928	10468
101	358396	10635
102	369031	2694
103	371725	12800
104	384525	10960
105	395485	10966
106	406451	8316
107	414767	15598
108	430365	14644
109	445009	12606
110	457615	10403
111	468018	12668
112	480686	6287
113	486973	19135
114	506108	12271
115	518379	1099
116	519478	12289
117	531767	12365
118	544132	11467
119	555599	17658
120	573257	12242
121	585499	10121
122	595620	8837
123	604457	10912
124	615369	10651
125	626020	7401
126	633421	13361
127	646782	13289
128	660071	10114
129	670185	16416
130	686601	7280
131	693881	11729
132	705610	18242
133	723852	11076
134	734928	15145
135	750073	15304
136	765377	11048
137	776425	9860
138	786285	13246
139	799531	16919
140	816450	10075
141	826525	12583
142	839108	13707
143	852815	9469
144	862284	14951
145	877235	9092
146	886327	13468
147	899795	7294
148	907089	14035
149	921124	4656
150	925780	1217
151	926997	19282
152	946279	14140
153	960419	22036
154	982455	9339
155	991794	10912
156	1002706	12984
157	1015690	12541
158	1028231	15217
159	1043448	8904
160	1052352	8097
161	1060449	1848
162	1062297	7285
163	1069582	7189
164	1076771	14542
165	1091313	13233
166	1104546	7722
167	1112268	7845
168	1120113	6773
169	1126886	10604
170	1137490	15883
171	1153373	18743
172	1172116	10949
173	1183065	29338
174	1212403	16701
175	1229104	14421
176	1243525	13347
177	1256872	50101
178	1306973	32421
179	1339394	23338
180	1362732	18406
181	1381138	26880
182	1408018	16965
183	1424983	13745
184	1438728	14966
185	1453694	20665
186	1474359	21262
187	1495621	18936
188	1514557	19707
189	1534264	24720
190	1558984	41601
191	1600585	17996
192	1618581	21089
193	1639670	9396
194	1649066	14065
195	1663131	15541
196	1678672	13422
197	1692094	17046
198	1709140	26336
199	1735476	15391
200	1750867	19793
201	1770660	26416
202	1797076	21416
203	1818492	15545
204	1834037	20274
205	1854311	13628
206	1867939	18635
207	1886574	21644
208	1908218	8697
209	1916915	16806
210	1933721	12274
211	1945995	24649
212	1970644	12917
213	1983561	17149
214	2000710	13115
215	2013825	27534
216	2041359	14795
217	2056154	16966
218	2073120	23298
219	2096418	17595
220	2114013	7696
221	2121709	15180
222	2136889	16861
223	2153750	13908
224	2167658	19931
225	2187589	10742
226	2198331	17491
227	2215822	13490
228	2229312	20898
229	2250210	17245
230	2267455	13753
231	2281208	21502
232	2302710	23392
233	2326102	18503
234	2344605	13727
235	2358332	15089
236	2373421	12609
237	2386030	18379
238	2404409	17184
239	2421593	15484
240	2437077	20938
241	2458015	29756
242	2487771	15553
243	2503324	27371
244	2530695	17069
245	2547764	15996
246	2563760	23024
247	2586784	20064
248	2606848	9215
249	2616063	9339
250	2625402	11869
251	2637271	13898
252	2651169	512
253	2651681	9625
254	2661306	8654
255	2669960	11293
256	2681253	7370
257	2688623	6191
258	2694814	1086
259	2695900	17050
260	2712950	16574
261	2729524	12375
262	2741899	10325
263	2752224	12748
264	2764972	9624
265	2774596	14331
266	2788927	11194
267	2800121	64938
268	2865059	8942
269	2874001	11934
270	2885935	11559
271	2897494	27552
272	2925046	8329
273	2933375	10590
274	2943965	13554
275	2957519	34061
276	2991580	9289
277	3000869	9887
278	3010756	13850
279	3024606	15964
280	3040570	13207
281	3053777	36987
282	3090764	12306
283	3103070	13355
284	3116425	10459
285	3126884	26983
286	3153867	11805
287	3165672	11155
288	3176827	37754
289	3214581	17524
290	3232105	15035
291	3247140	1950
292	3249090	16484
293	3265574	15464
294	3281038	10641
295	3291679	30842
296	3322521	18275
297	3340796	15490
298	3356286	10897
299	3367183	1737
300	3368920	24423
301	3393343	10886
302	3404229	15698
303	3419927	12907
304	3432834	15132
305	3447966	7558
306	3455524	1274
307	3456798	4159
308	3460957	12203
309	3473160	35700
310	3508860	10562
311	3519422	9820
312	3529242	7182
313	3536424	7133
314	3543557	9802
315	3553359	5648
316	3559007	9326
317	3568333	1315
318	3569648	2559
319	3572207	3834
320	3576041	9416
321	3585457	14887
322	3600344	11996
323	3612340	7594
324	3619934	9517
325	3629451	11441
326	3640892	6935
327	3647827	10180
328	3658007	6578
329	3664585	8420
330	3673005	7111
331	3680116	7223
332	3687339	3809
333	3691148	16192
334	3707340	10741
335	3718081	3361
336	3721442	5138
337	3726580	6765
338	3733345	10294
339	3743639	7745
340	3751384	7643
341	3759027	7825
342	3766852	6802
343	3773654	4991
344	3778645	3361
345	3782006	2461
346	3784467	10080
347	3794547	11705
348	3806252	12917
349	3819169	11267
350	3830436	16017
351	3846453	14731
352	3861184	9650
353	3870834	7687
354	3878521	7253
355	3885774	8782
356	3894556	5712
357	3900268	7734
358	3908002	15435
359	3923437	1398
